	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187663	51068	18204.0	146700.0	553710.0	39488.0
SRZ187664	36394	2130.0	123664.0	271816.0	10294.0
SRZ187665	41576	5636.0	89996.0	286988.0	10274.0
SRZ187666	59552	7588.0	182844.0	596444.0	115364.0
SRZ187667	184194	26728.0	416448.0	1359462.0	255862.0
SRZ187668	1105362	228826.0	513152.0	1294682.0	383468.0
SRZ187669	1204024	171848.0	539896.0	1230760.0	290472.0
SRZ187670	1260868	150652.0	499714.0	1434386.0	310216.0
SRZ187671	1915458	204320.0	673012.0	1864604.0	454144.0
SRZ187672	1610338	195310.0	633002.0	1757406.0	448946.0
SRZ187673	1206932	203658.0	479556.0	1676476.0	499840.0
SRZ187674	1718080	104062.0	143026.0	457340.0	281088.0
SRZ187675	1661474	113394.0	139930.0	397212.0	234852.0
SRZ187676	1679146	141744.0	132210.0	453444.0	276600.0
SRZ187677	291880	20298.0	473768.0	1759034.0	195002.0
SRZ187678	426572	21812.0	292654.0	785628.0	207888.0
SRZ187679	232600	12890.0	284340.0	883906.0	155936.0
SRZ187680	334946	54788.0	1121644.0	3477964.0	464504.0
SRZ187681	312718	34016.0	1069258.0	3457516.0	451884.0
SRZ187682	171482	19602.0	450850.0	1802136.0	205114.0
SRZ187683	152284	44050.0	532920.0	1812818.0	201432.0
SRZ187684	4210516	816612.0	15007608.0	38600496.0	8164320.0
SRZ187685	69338	18668.0	114984.0	369378.0	71422.0
