filename,category,f1_score,accuracy
67_17_17_720_180,plasmid,0.8108108108108107,0.993006993006993
67_17_17_720_180,prokaryote,0.9323308270676692,0.991008991008991
67_17_17_720_180,prokaryote_virus,0.9714285714285714,0.999000999000999
67_17_17_720_180,virus,0.9897959183673469,0.996003996003996
60_20_20_675_225,eukaryote,0.9948032665181885,0.993
60_20_20_675_225,eukaryote_virus,0.9844097995545658,0.993
60_20_20_675_225,plasmid,0.8837209302325583,0.995
60_20_20_675_225,prokaryote,0.9666666666666667,0.996
60_20_20_675_225,prokaryote_virus,0.975609756097561,0.999
60_20_20_675_225,virus,0.9877551020408163,0.994
50_25_25_600_300,eukaryote,0.995,0.994
50_25_25_600_300,eukaryote_virus,0.9865771812080537,0.992
50_25_25_600_300,plasmid,0.8771929824561403,0.993
50_25_25_600_300,prokaryote,0.9166666666666666,0.992
50_25_25_600_300,prokaryote_virus,0.9411764705882353,0.997
50_25_25_600_300,virus,0.9860896445131375,0.991
