	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187576	94648	23970.0	148486.0	250920.0	347984.0
SRZ187577	114886	49596.0	263510.0	409016.0	575790.0
SRZ187578	101082	31390.0	171568.0	263248.0	405958.0
SRZ187579	30816	10146.0	85196.0	75264.0	159478.0
SRZ187580	28074	14584.0	101294.0	85820.0	187268.0
SRZ187581	61314	21778.0	132714.0	187934.0	282840.0
SRZ187582	85450	53766.0	242644.0	367902.0	589348.0
SRZ187583	115834	58872.0	300900.0	434276.0	725504.0
SRZ187584	88978	19994.0	116178.0	198138.0	144198.0
SRZ187585	136512	38416.0	230948.0	440564.0	379082.0
SRZ187586	93424	52014.0	81636.0	147314.0	145940.0
SRZ187587	89070	39842.0	155122.0	321328.0	318424.0
SRZ187588	66622	11426.0	131264.0	161618.0	101746.0
SRZ187589	46494	11760.0	97726.0	151266.0	102524.0
SRZ187590	60556	29356.0	167468.0	201942.0	256768.0
SRZ187591	96026	31068.0	98544.0	208694.0	211806.0
SRZ187592	91476	18316.0	172852.0	177100.0	206864.0
SRZ187593	104568	35070.0	132632.0	266706.0	247202.0
SRZ187594	51446	28038.0	140068.0	166406.0	261238.0
SRZ187595	64126	28194.0	199418.0	205612.0	192948.0
SRZ187596	45034	13638.0	96354.0	110042.0	145412.0
SRZ187597	175128	62630.0	278850.0	513136.0	340668.0
SRZ187598	138924	62900.0	211862.0	439162.0	350118.0
SRZ187599	69152	20656.0	158452.0	189748.0	202112.0
SRZ187600	80812	49218.0	225676.0	333066.0	523962.0
SRZ187601	206334	129688.0	424842.0	629644.0	1361918.0
SRZ187602	186122	114740.0	407882.0	796870.0	1259508.0
SRZ187603	70182	57392.0	215076.0	323840.0	541128.0
SRZ187604	241638	102996.0	310402.0	849916.0	1899142.0
SRZ187605	167864	87250.0	222590.0	379374.0	1128602.0
SRZ187606	159780	85768.0	249318.0	464556.0	1259942.0
SRZ187607	79840	47916.0	160022.0	244000.0	704712.0
SRZ187608	48318	25268.0	124830.0	228504.0	566186.0
SRZ187609	154512	41664.0	106662.0	356388.0	395588.0
SRZ187610	69204	50298.0	342356.0	973072.0	130218.0
SRZ187611	97866	53964.0	208398.0	340112.0	928400.0
SRZ187612	148040	93718.0	176514.0	317046.0	832636.0
SRZ187613	189218	79900.0	279184.0	493498.0	1302122.0
SRZ187614	130304	40248.0	229296.0	363502.0	739122.0
