	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187534	428202	88144.0	921977.0	959110.0	473954.0
SRZ187535	365199	60020.0	922062.0	929370.0	550580.0
SRZ187536	486319	91777.0	866230.0	1295432.0	453883.0
SRZ187537	524497	171198.0	1253804.0	1671452.0	1073300.0
SRZ187538	569468	260390.0	1831878.0	2136003.0	1694483.0
SRZ187539	543129	175898.0	1201907.0	1776543.0	1111024.0
SRZ187540	682765	182874.0	1397006.0	1570677.0	1265178.0
SRZ187541	937624	271719.0	1653893.0	3074681.0	1150287.0
SRZ187542	572643	178741.0	1241326.0	1963049.0	848262.0
SRZ187543	526616	52795.0	658746.0	499843.0	173724.0
SRZ187544	799864	227989.0	849700.0	1751764.0	827464.0
SRZ187545	561951	159755.0	1298840.0	1969973.0	656830.0
SRZ187546	322948	243643.0	362715.0	724135.0	1169801.0
SRZ187547	212136	265086.0	4861200.0	4641089.0	290727.0
SRZ187548	478562	324645.0	1718950.0	6290284.0	343222.0
SRZ187549	360601	49159.0	571179.0	636725.0	300259.0
SRZ187550	452675	123525.0	1033006.0	1050221.0	1513409.0
SRZ187551	211528	135375.0	432332.0	515995.0	2470035.0
SRZ187552	407956	80676.0	865678.0	870663.0	440011.0
SRZ187553	318068	66397.0	739905.0	885629.0	714931.0
SRZ187554	344299	51308.0	693261.0	538119.0	391342.0
SRZ187555	266892	71550.0	685933.0	548816.0	470667.0
SRZ187556	199973	68188.0	644333.0	538156.0	734026.0
SRZ187557	351477	62463.0	836003.0	864506.0	323157.0
SRZ187558	521830	138211.0	1191236.0	1530526.0	669498.0
SRZ187559	554264	123567.0	969182.0	1085658.0	556949.0
SRZ187560	387284	120511.0	1144869.0	1343838.0	960376.0
SRZ187561	352176	92556.0	1179900.0	1382160.0	736436.0
SRZ187562	315611	94041.0	768633.0	789351.0	498437.0
SRZ187563	343269	104595.0	842826.0	928597.0	556493.0
SRZ187564	2390339	215069.0	1358342.0	1731079.0	1485700.0
SRZ187565	351777	67783.0	711638.0	798902.0	367894.0
SRZ187566	413499	106065.0	882863.0	988106.0	636436.0
SRZ187567	451119	111205.0	1794883.0	1209199.0	631808.0
SRZ187568	457975	111077.0	795895.0	1099846.0	591376.0
SRZ187569	452441	145324.0	824474.0	987267.0	698361.0
SRZ187570	387688	106619.0	723460.0	1095010.0	649373.0
SRZ187571	617681	185410.0	1150119.0	1766728.0	1157945.0
SRZ187572	316274	24382.0	604930.0	468997.0	135150.0
SRZ187573	318929	79131.0	707436.0	863339.0	505928.0
SRZ187574	658032	138629.0	1062483.0	1844221.0	1155603.0
SRZ187575	505539	95398.0	900256.0	1181226.0	828253.0
SRZ187576	499128	91812.0	769104.0	1117034.0	629461.0
SRZ187577	500720	145633.0	1155415.0	1459611.0	967183.0
SRZ187578	435342	92768.0	750717.0	1000075.0	686281.0
SRZ187579	166739	34771.0	504089.0	398925.0	304603.0
SRZ187580	116529	37952.0	431984.0	317496.0	312407.0
SRZ187581	325383	73256.0	715425.0	830452.0	511554.0
SRZ187582	346364	137066.0	861205.0	1163090.0	982516.0
SRZ187583	456734	150164.0	1058700.0	1314638.0	1194619.0
SRZ187584	466145	58295.0	639521.0	938152.0	293988.0
SRZ187585	693575	122567.0	1089478.0	1737293.0	749909.0
SRZ187586	470034	148366.0	616054.0	896725.0	335571.0
SRZ187587	504820	124891.0	854094.0	1391595.0	662647.0
SRZ187588	333150	44292.0	673324.0	752305.0	219256.0
SRZ187589	261232	44568.0	517550.0	780370.0	390492.0
SRZ187590	255785	101468.0	702467.0	735246.0	595903.0
SRZ187591	562223	109414.0	553402.0	1041307.0	631395.0
SRZ187592	365051	38837.0	718077.0	596672.0	337175.0
SRZ187593	565889	123524.0	682470.0	1145282.0	487575.0
SRZ187594	239303	72178.0	617429.0	651367.0	481101.0
SRZ187595	256792	56938.0	686750.0	639843.0	325079.0
SRZ187596	262173	53390.0	556440.0	596784.0	311040.0
SRZ187597	820341	209869.0	1223478.0	2027347.0	736855.0
SRZ187598	723196	204535.0	939463.0	1727352.0	716100.0
SRZ187599	318199	72308.0	751941.0	817617.0	404264.0
SRZ187600	364332	124342.0	1025957.0	1443645.0	902701.0
SRZ187601	735882	313206.0	1548545.0	1976775.0	2193270.0
SRZ187602	841276	270030.0	1682715.0	2865187.0	2081809.0
SRZ187603	267651	138585.0	907100.0	1182339.0	868222.0
SRZ187604	539975	211993.0	858054.0	1952508.0	3343602.0
SRZ187605	597854	198476.0	822521.0	1352684.0	1728434.0
SRZ187606	654776	186636.0	973312.0	1539794.0	1891038.0
SRZ187607	384961	113561.0	741515.0	1059527.0	1126287.0
SRZ187608	300410	76048.0	712756.0	1190772.0	879943.0
SRZ187609	358445	90610.0	317566.0	865765.0	738358.0
SRZ187610	173226	154301.0	910462.0	2472633.0	294630.0
SRZ187611	525526	142608.0	1000810.0	1265203.0	1444555.0
SRZ187612	637173	226493.0	969691.0	1300467.0	1336035.0
SRZ187613	766564	197587.0	1116109.0	1590149.0	2062632.0
SRZ187614	594769	118193.0	983457.0	1407824.0	1169753.0
SRZ187615	512998	128566.0	1240473.0	1843951.0	1422177.0
SRZ187616	650842	211671.0	1179693.0	1777195.0	2199232.0
SRZ187617	657433	231948.0	1462242.0	1748333.0	2481196.0
SRZ187618	637626	127735.0	861289.0	1461254.0	1082569.0
SRZ187619	687221	173411.0	1111584.0	1967072.0	1806519.0
SRZ187620	567950	145940.0	1177552.0	2011887.0	1735447.0
SRZ187621	304823	403025.0	493632.0	1095530.0	1949426.0
SRZ187622	130466	164585.0	808329.0	2535339.0	273137.0
SRZ187623	304191	202040.0	1547293.0	3242925.0	341914.0
SRZ187624	712374	159907.0	959177.0	1688863.0	1964945.0
SRZ187625	492094	104524.0	936588.0	1257518.0	1194509.0
SRZ187626	455420	120948.0	822671.0	1178610.0	997849.0
SRZ187627	964422	392946.0	1811088.0	3437688.0	2928841.0
SRZ187628	554040	159182.0	1192316.0	2027468.0	1591885.0
SRZ187629	587071	137343.0	999587.0	1141082.0	1602008.0
SRZ187630	571174	103191.0	1159419.0	1509371.0	1530185.0
SRZ187631	575605	106138.0	1071549.0	1159638.0	1283781.0
SRZ187632	1776191	507386.0	1226386.0	2390462.0	1030406.0
SRZ187633	3002010	675845.0	1006347.0	2171663.0	1416796.0
SRZ187634	1687251	371568.0	451737.0	887300.0	578674.0
SRZ187635	905236	178448.0	153931.0	306330.0	306065.0
SRZ187636	2794171	411585.0	618983.0	1197473.0	664092.0
SRZ187637	3440617	436859.0	729950.0	1552786.0	849048.0
SRZ187638	4324803	388231.0	1616622.0	3159950.0	642346.0
SRZ187639	1781293	513114.0	1560694.0	3993084.0	1003278.0
SRZ187640	3273445	243034.0	971720.0	2084189.0	465077.0
SRZ187641	1484479	202952.0	613466.0	1635345.0	416388.0
SRZ187642	3467932	416119.0	1601750.0	3742633.0	982431.0
SRZ187643	2178477	655906.0	2673738.0	6704397.0	1608126.0
SRZ187644	1341403	331379.0	1714679.0	3163845.0	406927.0
SRZ187645	456172	175518.0	999679.0	1862667.0	211419.0
SRZ187646	288483	168428.0	798458.0	1659502.0	131422.0
SRZ187647	286648	170660.0	738364.0	1738677.0	117096.0
